Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF11qcj  R  255.24100 56085.24100 81.185   -1.783 21.084    -47.2    77.5 
PTF11qcj  R  255.27200 56085.27200 22.342    1.352 20.911     73.0    90.9 
PTF11qcj  R  256.17400 56086.17400 25.367   17.738 21.141      4.5    73.5 
PTF11qcj  R  256.20400 56086.20400 79.113   -6.640 21.729     -7.0    42.8 
PTF11qcj  R  256.23700 56086.23700 20.950    0.270 21.268    263.0    65.4 
PTF11qcj  R  257.18100 56087.18100 22.521    1.272 21.156     61.9    72.5 
PTF11qcj  R  257.21200 56087.21200 79.324   -8.892 21.201     -8.5    69.6 
PTF11qcj  R  257.25100 56087.25100 23.097    2.100 21.188     36.4    70.4 
PTF11qcj  R  258.17300 56088.17300 81.992   -0.744 21.226    -99.3    68.0 
PTF11qcj  R  258.20300 56088.20300 22.414    0.800 21.553     68.3    50.3 
PTF11qcj  R  258.23400 56088.23400 23.710    3.200 21.344     20.7    61.0 
PTF11qcj  g -584.44600 55245.55400 79.933   -2.522 21.960    -14.9    34.6 
PTF11qcj  g -267.42400 55562.57600 81.969   -0.817 21.147    -97.2    73.1 
PTF11qcj  g -266.44700 55563.55300 80.885   -0.995 22.018    -35.8    32.8 
PTF11qcj  g -233.43000 55596.57000 80.873   -2.445 21.054    -35.4    79.7 
PTF11qcj  g -231.74600 55598.25400 22.002    1.046 20.850     99.8    96.1 
PTF11qcj  g -231.70300 55598.29700 21.915    0.897 20.930    108.1    89.3 
PTF11qcj  g -205.56300 55624.43700 21.994    0.503 21.636    100.6    46.6 
PTF11qcj  g -203.82100 55626.17900 82.172   -0.743 21.047   -117.2    80.2 
PTF11qcj  g -201.47900 55628.52100 22.346    1.543 20.772     72.7   103.3 
PTF11qcj  g -200.82400 55629.17600 82.603   -0.560 20.924   -174.2    89.8 
PTF11qcj  g -200.78000 55629.22000 22.971    1.763 21.252     40.9    66.4 
PTF11qcj  g -199.82900 55630.17100 82.717   -0.415 21.136   -193.6    73.9 
PTF11qcj  g -198.83700 55631.16300 81.121   -2.431 20.812    -44.5    99.6 
PTF11qcj  g -197.83900 55632.16100 82.864   -0.648 20.503   -221.7   132.3 
PTF11qcj  g -197.79700 55632.20300 79.888   -5.065 21.247    -14.3    66.7 
PTF11qcj  g -180.84600 55649.15400 23.832    3.323 21.425     18.5    56.6 
PTF11qcj  g -180.79300 55649.20700 23.204    1.547 21.627     33.0    47.0 
PTF11qcj  g -179.86100 55650.13900 82.836   -0.415 21.015   -216.0    82.6 
PTF11qcj  g -176.71400 55653.28600 22.857    0.868 21.907     45.4    36.3 
PTF11qcj  g -176.67000 55653.33000 81.899   -0.536 21.674    -91.1    45.0 
PTF11qcj  g -175.66600 55654.33400 24.190    3.568 21.706     13.3    43.7 
PTF11qcj  g -174.69500 55655.30500 80.499   -2.133 21.575    -25.1    49.3 
PTF11qcj  g -174.65200 55655.34800 24.903    6.485 21.770      6.9    41.2 
PTF11qcj  g -173.69800 55656.30200 22.963    0.870 22.011     41.2    33.0 
PTF11qcj  g -172.74000 55657.26000 22.119    0.661 21.466     89.6    54.5 
PTF11qcj  g -172.69600 55657.30400 23.577    2.297 21.571     23.4    49.5 
PTF11qcj  g -171.68200 55658.31800 80.231   -2.820 21.540    -19.6    50.9 
PTF11qcj  g -167.53700 55662.46300 22.261    0.810 21.387     78.6    58.6 
PTF11qcj  g -167.49400 55662.50600 82.418   -0.683 20.892   -147.0    92.5 
PTF11qcj  g -144.69400 55685.30600 22.372    0.460 22.111     71.0    30.1 
PTF11qcj  g -144.65000 55685.35000 79.926   -2.128 22.151    -14.8    29.0 
PTF11qcj  g -143.68800 55686.31200 78.769   -5.984 22.185     -5.1    28.1 
PTF11qcj  g -142.69100 55687.30900 80.180   -1.812 22.072    -18.7    31.2 
PTF11qcj  g -142.64600 55687.35400 81.848   -0.354 22.178    -86.9    28.3 
PTF11qcj  g -141.63200 55688.36800 25.391    9.132 21.887      4.4    37.0 
PTF11qcj  g -140.72900 55689.27100 80.030   -3.784 21.421    -16.3    56.8 
PTF11qcj  g -140.68500 55689.31500 23.022    1.284 21.648     39.0    46.1 
PTF11qcj  g -117.76900 55712.23100 78.790   -4.741 22.417     -5.2    22.7 
PTF11qcj  g -117.72500 55712.27500 80.991   -1.179 21.726    -39.5    42.9 
PTF11qcj  g -116.80900 55713.19100 80.978   -1.041 21.875    -39.0    37.4 
PTF11qcj  g -116.76600 55713.23400 21.354    0.915 20.348    181.3   152.7 
PTF11qcj  g -115.70700 55714.29300 21.789    0.505 21.427    121.5    56.5 
PTF11qcj  g -114.74800 55715.25200 23.363    1.856 21.588     28.5    48.7 
PTF11qcj  g -114.70500 55715.29500 82.499   -0.252 21.893   -158.3    36.8 
PTF11qcj  g -114.65400 55715.34600 81.812   -0.599 21.641    -84.1    46.4 
PTF11qcj  g -114.61000 55715.39000 78.831   -8.970 21.684     -5.4    44.6 
PTF11qcj  g -113.78000 55716.22000 81.196   -0.735 22.034    -47.7    32.3 
PTF11qcj  g -113.72900 55716.27100 23.731    1.685 22.061     20.3    31.5 
PTF11qcj  g -113.68600 55716.31400 81.691   -0.478 22.008    -75.2    33.1 
PTF11qcj  g -112.77400 55717.22600 23.279    1.721 21.586     30.8    48.8 
PTF11qcj  g -112.72300 55717.27700 23.162    1.409 21.686     34.3    44.5 
PTF11qcj  g -112.67900 55717.32100 78.981   -7.252 21.765     -6.2    41.4 
PTF11qcj  g -110.67700 55719.32300 22.464    0.834 21.558     65.2    50.1 
PTF11qcj  g -110.63300 55719.36700 79.734   -4.861 21.446    -12.4    55.5 
PTF11qcj  g -109.77400 55720.22600 78.769  -11.818 21.446     -5.1    55.5 
PTF11qcj  g -109.72300 55720.27700 22.516    0.897 21.530     62.2    51.4 
PTF11qcj  g -109.68000 55720.32000 80.290   -2.083 21.810    -20.7    39.7 
PTF11qcj  g  -93.80900 55736.19100 80.926   -0.852 22.144    -37.2    29.2 
PTF11qcj  g  -93.76600 55736.23400 22.038    0.343 22.096     96.6    30.5 
PTF11qcj  g  -92.79300 55737.20700 79.349   -5.879 21.625     -8.7    47.1 
PTF11qcj  g  -92.74900 55737.25100 22.521    0.754 21.724     61.9    43.0 
PTF11qcj  g  -91.81800 55738.18200 80.185   -1.773 22.089    -18.8    30.7 
PTF11qcj  g  -91.77300 55738.22700 80.882   -1.439 21.620    -35.7    47.3 
PTF11qcj  g  -90.81200 55739.18800 78.680  -13.148 21.419     -4.7    56.9 
PTF11qcj  g  -90.76700 55739.23300 81.290   -0.668 22.044    -52.0    32.0 
PTF11qcj  g  -89.82300 55740.17700 82.575   -0.270 21.744   -169.9    42.2 
PTF11qcj  g  -89.77100 55740.22900 23.337    0.837 22.427     29.2    22.5 
PTF11qcj  g  -88.82300 55741.17700 81.856   -0.841 21.229    -87.6    67.8 
PTF11qcj  g  -88.78000 55741.22000 81.205   -1.319 21.391    -48.1    58.4 
PTF11qcj  g  -87.81800 55742.18200 21.205    0.364 21.199    207.9    69.7 
PTF11qcj  g  -87.76000 55742.24000 81.926   -0.562 21.597    -93.4    48.3 
PTF11qcj  g  -86.82300 55743.17700 82.300   -0.364 21.694   -131.8    44.2 
PTF11qcj  g  -86.77900 55743.22100 82.135   -0.299 22.072   -113.2    31.2 
PTF11qcj  g  -85.82000 55744.18000 81.089   -1.415 21.431    -43.2    56.3 
PTF11qcj  g  -85.76600 55744.23400 76.613  -81.450 21.507     -0.7    52.5 
PTF11qcj  g  -84.81900 55745.18100 81.849   -0.643 21.528    -87.0    51.5 
PTF11qcj  g  -84.77600 55745.22400 78.998   -8.050 21.634     -6.3    46.7 
PTF11qcj  g  -83.80600 55746.19400 80.935   -1.541 21.492    -37.5    53.2 
PTF11qcj  g  -83.76400 55746.23600 23.022    1.710 21.337     39.0    61.4 
PTF11qcj  g  -82.81900 55747.18100 81.877   -0.512 21.746    -89.3    42.1 
PTF11qcj  g  -82.77600 55747.22400 80.766   -1.769 21.511    -32.1    52.3 
PTF11qcj  g  -81.76100 55748.23900 22.926    1.252 21.579     42.6    49.1 
PTF11qcj  g  -77.74700 55752.25300 81.212   -0.990 21.696    -48.4    44.1 
PTF11qcj  g  -77.70300 55752.29700 23.359    3.395 20.929     28.6    89.4 
PTF11qcj  g  -53.83800 55776.16200 81.830   -0.663 21.513    -85.5    52.2 
PTF11qcj  g  -53.78900 55776.21100 82.109   -0.549 21.439   -110.6    55.9 
PTF11qcj  g  -52.83900 55777.16100 81.302   -1.811 20.950    -52.6    87.7 
PTF11qcj  g  -52.78100 55777.21900 23.629    2.839 21.393     22.3    58.3 
PTF11qcj  g  -51.84000 55778.16000 22.783    2.123 20.863     48.6    95.0 
PTF11qcj  g  -51.79700 55778.20300 81.892   -0.631 21.505    -90.5    52.6 
PTF11qcj  g   27.54300 55857.54300 17.626    0.053 19.710   5617.6   274.7 
PTF11qcj  g   27.54400 55857.54400 17.659    0.068 19.479   5450.6   339.8 
PTF11qcj  g   29.53800 55859.53800 17.762    0.029 20.498   4957.3   133.0 
PTF11qcj  g   29.53900 55859.53900 17.783    0.033 20.382   4859.7   147.9 
PTF11qcj  g   32.52900 55862.52900 18.075    0.027 20.876   3715.9    93.9 
PTF11qcj  g   32.53000 55862.53000 18.051    0.025 20.941   3797.2    88.4 
PTF11qcj  g   34.52400 55864.52400 18.189    0.033 20.777   3343.5   102.8 
PTF11qcj  g   34.52500 55864.52500 18.232    0.035 20.765   3214.1   104.0 
PTF11qcj  g   35.52000 55865.52000 18.284    0.027 21.107   3063.5    75.9 
PTF11qcj  g   35.52100 55865.52100 18.344    0.030 21.066   2899.4    78.8 
PTF11rfr  R -519.55000 55377.45000 21.663    0.666 21.002    136.4    83.6 
PTF11rfr  R -518.60400 55378.39600 22.039    2.317 20.023     96.5   205.9 
PTF11rfr  R -518.56000 55378.44000 81.493   -1.587 20.902    -62.7    91.6 
PTF11rfr  R -516.60800 55380.39200 83.180   -0.438 20.613   -296.5   119.6 
PTF11rfr  R -516.56400 55380.43600 81.071   -3.301 20.529    -42.5   129.2 
PTF11rfr  R -511.62100 55385.37900 21.950    0.817 21.066    104.7    78.8 
PTF11rfr  R -511.57700 55385.42300 80.477   -2.203 21.562    -24.6    49.9 
PTF11rfr  R -510.62200 55386.37800 81.539   -0.912 21.458    -65.4    54.9 
PTF11rfr  R -510.57900 55386.42100 79.881   -3.273 21.729    -14.2    42.8 
PTF11rfr  R -509.61100 55387.38900 21.811    0.750 21.020    119.0    82.2 
PTF11rfr  R -509.56700 55387.43300 25.522   16.457 21.378      3.9    59.1 
PTF11rfr  R -508.61400 55388.38600 22.125    0.881 21.159     89.1    72.3 
PTF11rfr  R -508.57000 55388.43000 22.059    0.672 21.387     94.7    58.6 
PTF11rfr  R -507.52400 55389.47600 83.309   -0.717 19.950   -333.8   220.3 
PTF11rfr  R -506.63300 55390.36700 82.565   -0.610 20.869   -168.3    94.5 
PTF11rfr  R -506.58600 55390.41400 22.461    1.001 21.356     65.4    60.3 
PTF11rfr  R -505.62000 55391.38000 80.829   -2.000 21.316    -34.0    62.6 
PTF11rfr  R -505.57700 55391.42300 23.644    2.177 21.696     22.0    44.1 
PTF11rfr  R -504.62500 55392.37500 22.225    0.870 21.273     81.3    65.1 
PTF11rfr  R -504.58100 55392.41900 82.357   -0.346 21.691   -138.9    44.3 
PTF11rfr  R -502.64400 55394.35600 22.191    0.972 21.118     83.9    75.1 
PTF11rfr  R -502.60100 55394.39900 81.166   -2.137 20.906    -46.4    91.3 
PTF11rfr  R -501.61600 55395.38400 80.626   -2.361 21.339    -28.2    61.3 
PTF11rfr  R -500.58400 55396.41600 24.135    4.057 21.511     14.0    52.3 
PTF11rfr  R -500.52500 55396.47500 21.671    0.576 21.167    135.4    71.8 
PTF11rfr  R -499.56100 55397.43900 23.028    1.170 21.754     38.8    41.8 
PTF11rfr  R -499.51800 55397.48200 80.558   -1.479 21.913    -26.5    36.1 
PTF11rfr  R -498.56500 55398.43500 79.793   -4.584 21.450    -13.1    55.3 
PTF11rfr  R -498.52200 55398.47800 22.817    0.957 21.762     47.1    41.5 
PTF11rfr  R -497.56500 55399.43500 82.347   -0.324 21.773   -137.6    41.1 
PTF11rfr  R -497.52100 55399.47900 22.708    0.782 21.872     52.1    37.5 
PTF11rfr  R -496.56400 55400.43600 22.188    0.486 21.869     84.1    37.6 
PTF11rfr  R -496.51900 55400.48100 24.150    2.471 22.065     13.8    31.4 
PTF11rfr  R -495.54600 55401.45400 23.109    2.069 21.216     36.0    68.6 
PTF11rfr  R -489.62100 55407.37900 81.908   -1.437 20.595    -91.9   121.6 
PTF11rfr  R -489.57000 55407.43000 22.659    1.540 21.087     54.5    77.3 
PTF11rfr  R -483.68800 55413.31200 82.182   -1.304 20.427   -118.2   141.9 
PTF11rfr  R -483.63500 55413.36500 23.911    9.338 20.382     17.2   147.9 
PTF11rfr  R -482.68200 55414.31800 79.633   -9.005 20.878    -11.3    93.7 
PTF11rfr  R -482.62500 55414.37500 80.082   -6.961 20.708    -17.1   109.6 
PTF11rfr  R -481.66000 55415.34000 22.408    1.745 20.700     68.7   110.4 
PTF11rfr  R -481.61700 55415.38300 81.600   -1.400 20.931    -69.2    89.2 
PTF11rfr  R -480.66500 55416.33500 81.386   -2.321 20.597    -56.8   121.4 
PTF11rfr  R -480.62100 55416.37900 82.390   -0.900 20.621   -143.2   118.7 
PTF11rfr  R -479.65300 55417.34700 23.577    5.198 20.684     23.4   112.0 
PTF11rfr  R -479.60900 55417.39100 80.482   -6.221 20.430    -24.7   141.5 
PTF11rfr  R -478.64800 55418.35200 82.768   -0.400 21.124   -202.8    74.7 
PTF11rfr  R -478.60400 55418.39600 22.841    2.580 20.709     46.1   109.5 
PTF11rfr  R -477.65600 55419.34400 80.423   -4.376 20.871    -23.4    94.3 
PTF11rfr  R -477.57400 55419.42600 26.049   47.694 20.750      2.4   105.4 
PTF11rfr  R -476.61200 55420.38800 82.001   -1.138 20.755   -100.1   104.9 
PTF11rfr  R -476.56700 55420.43300 82.069   -0.820 21.043   -106.6    80.5 
PTF11rfr  R -475.61300 55421.38700 23.322    1.589 21.716     29.6    43.3 
PTF11rfr  R -475.56900 55421.43100 81.425   -0.804 21.708    -58.9    43.6 
PTF11rfr  R -474.61700 55422.38300 23.355    1.763 21.636     28.7    46.6 
PTF11rfr  R -474.57000 55422.43000 25.522   13.728 21.575      3.9    49.3 
PTF11rfr  R -473.61700 55423.38300 22.231    0.405 22.111     80.8    30.1 
PTF11rfr  R -473.54900 55423.45100 81.759   -0.546 21.794    -80.1    40.3 
PTF11rfr  R -472.59700 55424.40300 81.194   -0.616 22.229    -47.6    27.0 
PTF11rfr  R -472.54900 55424.45100 79.670   -4.131 21.686    -11.7    44.5 
PTF11rfr  R -471.55800 55425.44200 23.868    2.330 21.846     17.9    38.4 
PTF11rfr  R -471.51500 55425.48500 23.109    1.581 21.509     36.0    52.4 
PTF11rfr  R -470.55400 55426.44600 23.930    2.320 21.913     16.9    36.1 
PTF11rfr  R -470.50900 55426.49100 80.964   -1.244 21.696    -38.5    44.1 
PTF11rfr  R -469.55700 55427.44300 81.752   -0.558 21.778    -79.6    40.9 
PTF11rfr  R -469.51400 55427.48600 81.572   -0.477 22.129    -67.4    29.6 
PTF11rfr  R -468.55900 55428.44100 81.068   -1.025 21.802    -42.4    40.0 
PTF11rfr  R -467.74400 55429.25600 81.925   -1.307 20.681    -93.3   112.3 
PTF11rfr  R -467.69900 55429.30100 23.505    2.389 21.456     25.0    55.0 
PTF11rfr  R -466.74100 55430.25900 21.253    0.591 20.721    198.9   108.3 
PTF11rfr  R -466.69600 55430.30400 79.594   -7.861 21.065    -10.9    78.9 
PTF11rfr  R -465.74500 55431.25500 22.547    1.645 20.904     60.4    91.5 
PTF11rfr  R -465.70100 55431.29900 22.135    0.930 21.111     88.3    75.6 
PTF11rfr  R -464.75000 55432.25000 82.139   -1.722 20.167   -113.7   180.3 
PTF11rfr  R -464.70600 55432.29400 82.638   -0.507 20.995   -180.0    84.1 
PTF11rfr  R -463.75000 55433.25000 81.162   -3.716 20.310    -46.2   158.1 
PTF11rfr  R -463.70500 55433.29500 81.597   -1.832 20.642    -69.0   116.4 
PTF11rfr  R -462.75200 55434.24800 22.124    8.110 18.748     89.2   666.1 
PTF11rfr  R -462.70800 55434.29200 82.725   -0.526 20.870   -195.0    94.4 
PTF11rfr  R -461.75300 55435.24700 82.212   -2.090 19.884   -121.6   234.0 
PTF11rfr  R -461.70900 55435.29100 82.396   -1.065 20.433   -144.0   141.2 
PTF11rfr  R -456.77400 55440.22600 24.887   10.891 21.191      7.0    70.2 
PTF11rfr  R -456.72900 55440.27100 23.304    2.453 21.226     30.1    68.0 
PTF11rfr  R -455.76700 55441.23300 80.138   -3.391 21.433    -18.0    56.2 
PTF11rfr  R -455.72400 55441.27600 23.367    2.122 21.446     28.4    55.5 
PTF11rfr  R -454.73300 55442.26700 81.365   -1.104 21.425    -55.7    56.6 
PTF11rfr  R -454.69000 55442.31000 22.266    0.606 21.706     78.3    43.7 
PTF11rfr  R -453.73700 55443.26300 82.306   -0.436 21.492   -132.5    53.2 
PTF11rfr  R -453.69300 55443.30700 24.330    5.031 21.472     11.7    54.2 
PTF11rfr  R -452.74000 55444.26000 23.990    3.849 21.423     16.0    56.7 
PTF11rfr  R -452.68400 55444.31600 81.288   -1.214 21.399    -51.9    58.0 
PTF11rfr  R -451.73300 55445.26700 23.615    2.638 21.458     22.6    54.9 
PTF11rfr  R -451.67800 55445.32200 23.152    1.551 21.573     34.6    49.4 
PTF11rfr  R -450.72600 55446.27400 81.374   -0.868 21.677    -56.2    44.9 
PTF11rfr  R -450.66700 55446.33300 24.249    3.861 21.679     12.6    44.8 
PTF11rfr  R -449.68400 55447.31600 21.253    0.268 21.579    199.0    49.1 
PTF11rfr  R -449.62100 55447.37900 79.173   -7.308 21.564     -7.4    49.8 
PTF11rfr  R -447.67500 55449.32500 80.637   -1.875 21.577    -28.5    49.2 
PTF11rfr  R -447.63200 55449.36800 23.937    3.420 21.499     16.8    52.9 
PTF11rfr  R -446.67700 55450.32300 21.895    0.541 21.458    110.2    54.9 
PTF11rfr  R -446.63000 55450.37000 24.320    4.040 21.701     11.8    43.9 
PTF11rfr  R -445.65700 55451.34300 81.187   -1.322 21.406    -47.3    57.6 
PTF11rfr  R -445.60300 55451.39700 22.288    0.746 21.503     76.7    52.7 
PTF11rfr  R -444.64200 55452.35800 79.933   -3.294 21.669    -14.9    45.2 
PTF11rfr  R -444.58900 55452.41100 22.206    0.657 21.560     82.7    50.0 
PTF11rfr  R -443.76100 55453.23900 23.527    2.655 21.364     24.5    59.9 
PTF11rfr  R -443.69900 55453.30100 78.505  -11.132 21.775     -4.0    41.0 
PTF11rfr  R -442.74700 55454.25300 82.398   -0.385 21.534   -144.3    51.2 
PTF11rfr  R -442.70300 55454.29700 81.677   -0.770 21.503    -74.3    52.7 
PTF11rfr  R -441.75000 55455.25000 22.217    0.908 21.218     81.9    68.5 
PTF11rfr  R -441.68700 55455.31300 21.998    0.623 21.408    100.2    57.5 
PTF11rfr  R -440.67500 55456.32500 81.476   -0.697 21.813    -61.7    39.6 
PTF11rfr  R -440.63200 55456.36800 22.716    0.865 21.770     51.7    41.2 
PTF11rfr  R -439.68000 55457.32000 22.906    1.546 21.330     43.4    61.8 
PTF11rfr  R -439.63600 55457.36400 22.735    1.323 21.328     50.8    61.9 
PTF11rfr  R -438.66800 55458.33200 22.523    1.223 21.201     61.8    69.6 
PTF11rfr  R -437.66100 55459.33900 22.973    2.316 20.958     40.8    87.0 
PTF11rfr  R -437.61700 55459.38300 81.639   -1.036 21.220    -71.7    68.4 
PTF11rfr  R -436.73800 55460.26200 22.591    1.455 21.081     58.0    77.7 
PTF11rfr  R -436.67000 55460.33000 22.351    0.866 21.404     72.4    57.7 
PTF11rfr  R -435.77500 55461.22500 20.843    0.366 20.830    290.2    97.9 
PTF11rfr  R -435.70700 55461.29300 82.702   -0.434 21.101   -190.9    76.3 
PTF11rfr  R -434.74000 55462.26000 80.682   -5.068 20.453    -29.7   138.6 
PTF11rfr  R -434.69700 55462.30300 21.453    0.787 20.609    165.5   120.0 
PTF11rfr  R -429.81900 55467.18100 83.782   -0.494 19.881   -516.0   234.6 
PTF11rfr  R -429.77600 55467.22400 83.711   -0.792 19.438   -483.7   352.8 
PTF11rfr  R -428.76600 55468.23400 22.514    1.008 21.402     62.3    57.8 
PTF11rfr  R -428.69400 55468.30600 83.408   -4.557 17.842   -365.8  1534.9 
PTF11rfr  R -427.70000 55469.30000 83.399   -0.350 20.639   -362.6   116.8 
PTF11rfr  R -426.68500 55470.31500 22.471    1.037 21.328     64.8    61.9 
PTF11rfr  R -426.64100 55470.35900 82.215   -1.020 20.660   -121.9   114.5 
PTF11rfr  R -425.68900 55471.31100 80.432   -2.333 21.545    -23.6    50.7 
PTF11rfr  R -425.64500 55471.35500 22.430    0.938 21.397     67.3    58.1 
PTF11rfr  R -424.69300 55472.30700 81.201   -0.837 21.890    -47.9    36.9 
PTF11rfr  R -424.63500 55472.36500 22.495    0.779 21.662     63.4    45.5 
PTF11rfr  R -423.68300 55473.31700 82.266   -0.349 21.773   -127.8    41.1 
PTF11rfr  R -423.63900 55473.36100 81.536   -0.515 22.082    -65.2    30.9 
PTF11rfr  R -419.83400 55477.16600 82.263   -0.574 21.237   -127.4    67.3 
PTF11rfr  R -419.79100 55477.20900 22.916    0.952 21.866     43.0    37.7 
PTF11rfr  R -418.81300 55478.18700 82.067   -0.597 21.389   -106.4    58.5 
PTF11rfr  R -418.76900 55478.23100 22.801    1.520 21.244     47.8    66.9 
PTF11rfr  R -417.81600 55479.18400 24.770    8.103 21.395      7.8    58.2 
PTF11rfr  R -417.77300 55479.22700 80.796   -2.448 21.128    -33.0    74.4 
PTF11rfr  R -416.81600 55480.18400 77.000  -77.323 21.176     -1.0    71.2 
PTF11rfr  R -416.77200 55480.22800 81.500   -0.945 21.458    -63.1    54.9 
PTF11rfr  R -415.80400 55481.19600 25.882   14.002 21.913      2.8    36.1 
PTF11rfr  R -415.71700 55481.28300 22.577    0.731 21.813     58.8    39.6 
PTF11rfr  R -414.76300 55482.23700 79.467   -4.747 21.739     -9.7    42.4 
PTF11rfr  R -414.70100 55482.29900 23.654    2.252 21.669     21.8    45.2 
PTF11rfr  R -413.79600 55483.20400 80.095   -3.854 21.337    -17.3    61.4 
PTF11rfr  R -413.71400 55483.28600 21.386    0.316 21.534    176.0    51.2 
PTF11rfr  R -412.74800 55484.25200 81.469   -0.880 21.566    -61.3    49.7 
PTF11rfr  R -412.59500 55484.40500 22.256    5.576 19.287     79.0   405.6 
PTF11rfr  R -410.89000 55486.11000 21.265    0.635 20.655    196.7   115.1 
PTF11rfr  R -410.84600 55486.15400 81.741   -4.225 19.591    -78.8   306.6 
PTF11rfr  R -400.65700 55496.34300 80.652   -6.512 20.210    -28.9   173.3 
PTF11rfr  R -400.60100 55496.39900 21.584    1.652 19.935    146.7   223.2 
PTF11rfr  R -399.64600 55497.35400 22.509    1.423 21.023     62.6    82.0 
PTF11rfr  R -399.60200 55497.39800 21.814    0.802 20.950    118.7    87.7 
PTF11rfr  R -398.64300 55498.35700 82.194   -0.785 20.965   -119.6    86.5 
PTF11rfr  R -398.59800 55498.40200 22.766    2.675 20.594     49.4   121.7 
PTF11rfr  R -395.84300 55501.15700 81.610   -1.042 21.242    -69.8    67.0 
PTF11rfr  R -395.65300 55501.34700 23.039    1.482 21.509     38.4    52.4 
